Feature,Coefficient,Abs_Coefficient
Respostas_P_Media,-4.525317007544173,4.525317007544173
F1107,-3.2689470636531666,3.2689470636531666
P04,-3.262207649693632,3.262207649693632
Tempo_Total,2.987779297284418,2.987779297284418
F1105,-2.445889200272419,2.445889200272419
Likert_Score_Min,-2.3004522274487806,2.3004522274487806
F0711,-2.134823803603286,2.134823803603286
P08,-2.0255126870398885,2.0255126870398885
T15,-1.7431630416378947,1.7431630416378947
Tempo_Medio,1.0234496922083742,1.0234496922083742
